FileName,ResearchQuestion,Theme,Subject,Sentence,DominantTopic,TopicKeywords
A3,RQ1,Principles and Values,Innovation,Technological advances provide an increasing opportunity for service computing.,0,"systems, data, security, system, privacy, users, development, computing"
A3,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,We propose a manifesto—a community declaration of objectives and approaches—as a way to establish common ground among researchers in the field and to guide its future development.,2,"research, open, work, future, extent, basic, also, community"
A3,RQ1,Objective and Motivation,Solve existing problems and challenges,It identifies the major obstacles that hinder the development and potential realization of service computing in the real world.,0,"systems, data, security, system, privacy, users, development, computing"
A3,RQ1,Main Guidelines,Conduct research and experiments,A number of journals and conferences were founded to assist research development in this area.,2,"research, open, work, future, extent, basic, also, community"
A3,RQ1,Main Guidelines,Promote collaboration and communication,An important direction is to formalize sociotechnical interactions as a basis for governance of autonomous services.,4,"process, mining, data, business, provides, bridge, modeling, important"
A3,RQ1,Impact and Applicability,Consider context and application,Selecting and composing services from numerous and ever-changing devices and services to fulfill user requirements in a real-time and context-aware fashion is a difficult mission.,0,"systems, data, security, system, privacy, users, development, computing"
A3,RQ2,Gaps,Lack of practical guidelines for implementing principles,Service systems have so far been built without an adequate rigorous foundation that would enable reasoning about them.,0,"systems, data, security, system, privacy, users, development, computing"
A4,RQ1,Principles and Values,Artificial intelligence,ABPMS is a new generation of business process management systems empowered by trustworthy AI technology to reason and act upon data within a set of restrictions.,4,"process, mining, data, business, provides, bridge, modeling, important"
A4,RQ1,Main Guidelines,Adapt and evolve,An ABPMS must therefore be able to adapt itself to the new process context in real time.,4,"process, mining, data, business, provides, bridge, modeling, important"
A4,RQ1,Impact and Applicability,Develop tools and techniques,ABPMS should be able to achieve more complex automation than a traditional BPMS by using AI to minimize human-dependent training.,4,"process, mining, data, business, provides, bridge, modeling, important"
A5,RQ3,Relationship with SWeBok,Software architecture,Atomic actions...allow a wide range of faults to be tolerated by using backward and forward recovery. These actions provide mechanisms that align with architectural concerns for resilience and fault tolerance.,2,"research, open, work, future, extent, basic, also, community"
A5,RQ3,Relationship with SWeBok,Software Quality,The dependability of a computing system is its ability to deliver service that can justifiably be trusted.,0,"systems, data, security, system, privacy, users, development, computing"
A6,RQ1,Principles and Values,Openness,Keep it open! We believe there is an inherent value in openness.,2,"research, open, work, future, extent, basic, also, community"
A6,RQ1,Principles and Values,Ethics and Responsibility,Responsible technology needs to work tomorrow as well as today.,3,"design, principles, community, people, need, thinking, must, patterns"
A6,RQ1,Main Guidelines,Ensure security and privacy,Arduino believes you should have control of your own cloud service and control who access your data always.,0,"systems, data, security, system, privacy, users, development, computing"
A6,RQ1,Impact and Applicability,Seek sustainability,Sustainable – against disposable design of fast moving consumer electronic goods.,3,"design, principles, community, people, need, thinking, must, patterns"
A6,RQ2,Gaps,Lack of practical guidelines for implementing principles,Doteveryone’s take on understandability pushes heavily for clarity about how a product or service works.,3,"design, principles, community, people, need, thinking, must, patterns"
A4,RQ3,Relationship with SWeBok,Software Engineering Models and Methods,CMMN provides the possibility for ad hoc sequencing that emerges by the case. Another alternative to CMMN could be to rely on the belief-desire-intention (BDI) agent perspective.?,4,"process, mining, data, business, provides, bridge, modeling, important"
A7,RQ1,Principles and Values,Process improvement,The CbyC approach has two primary goals – to deliver software with defect rates an order of magnitude lower than current best commercial practice in a cost-effective manner; and to deliver durable software that is resilient to change throughout its lifecycle.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A7,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,High integrity software systems are often so large that conventional development processes cannot get anywhere near achieving tolerable defect rates.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A7,RQ3,Relationship with SWeBok,Software Engineering Process,The key to implementing these principles is to introduce sufficient precision at each step of the development of the software to enable reasoning about the correctness of that step.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A8,RQ1,Principles and Values,User focus,The creation of accessible and inclusive technologies must start by understanding the actual user needs and what new technology opportunities there are.,3,"design, principles, community, people, need, thinking, must, patterns"
A8,RQ1,Principles and Values,Openness,A bottom-up approach to innovation is sparking a generation of people to design their own solutions and to share these to allow others to further evolve their designs.,3,"design, principles, community, people, need, thinking, must, patterns"
A8,RQ1,Objective and Motivation,Changing culture and practices,The time is ripe for HCI to lead the way in making the world truly accessible and inclusive.,2,"research, open, work, future, extent, basic, also, community"
A8,RQ1,Main Guidelines,Adopt new technologies and approaches,DIX will utilize Dan Saffer’s four types of interaction design practice [...] to co-create completely new ways of interacting with technology.,3,"design, principles, community, people, need, thinking, must, patterns"
A8,RQ1,Main Guidelines,Consider context and application,DIX will utilize Dan Saffer’s four types of interaction design practice [...] to co-create completely new ways of interacting with technology.,3,"design, principles, community, people, need, thinking, must, patterns"
A8,RQ1,Main Guidelines,Share knowledge,We will create an open source community of researchers and innovators to co-develop research and design protocols with disabled people.,2,"research, open, work, future, extent, basic, also, community"
A8,RQ1,Call to Action,Collaborate and share,We will create an open source community of researchers and innovators to co-develop research and design protocols with disabled people.,2,"research, open, work, future, extent, basic, also, community"
A8,RQ1,Call to Action,Educate and train,We plan to create a global community of people who can contribute to the development of the curriculum for DIX.,3,"design, principles, community, people, need, thinking, must, patterns"
A8,RQ1,Call to Action,Building and strengthening communities,We plan to create a global community of people who can contribute to the development of the curriculum for DIX.,3,"design, principles, community, people, need, thinking, must, patterns"
A9,RQ1,Principles and Values,Collaboration,Sharing creations and talking about them with other people is a key characteristic of DiY culture.,3,"design, principles, community, people, need, thinking, must, patterns"
A9,RQ1,Objective and Motivation,Transforming current practices through innovations,The manifesto aims at providing a framework for do-it-yourself systems enabling non-technical users to create internet-of-things applications.,0,"systems, data, security, system, privacy, users, development, computing"
A9,RQ1,Main Guidelines,Conduct research and experiments,Qualitative research was conducted to understand how and why users would create their own smart experiences in an Internet-of-things world.,2,"research, open, work, future, extent, basic, also, community"
A9,RQ1,Call to Action,Collaborate and share,Sharing creations and talking about them with other people is a key characteristic of DiY culture.,3,"design, principles, community, people, need, thinking, must, patterns"
A9,RQ2,Gaps,Lack of integration between different areas of software engineering,There is still a substantial amount of work to be done in order to allow non-technical users to write a program without requiring any programming skills.,2,"research, open, work, future, extent, basic, also, community"
A9,RQ3,Relationship with SWeBok,Software Construction,The smallest entity in the system is called a ‘useful component’ (e.g. a hardware light sensor that can transmit values to a system).,0,"systems, data, security, system, privacy, users, development, computing"
A9,RQ3,Relationship with SWeBok,Software Engineering Models and Methods,High-level abstraction models are presented as 'easy' programming methods.,3,"design, principles, community, people, need, thinking, must, patterns"
A9,RQ3,Relationship with SWeBok,Computing Foundations,The system should support a spectrum of expertise in computational thinking by offering different layers of computational abstractions.,0,"systems, data, security, system, privacy, users, development, computing"
A10,RQ1,Main Guidelines,Establish standards and guidelines,We issue a call to the community to clearly identify the nature and extent of unsoundness in static analyses.,2,"research, open, work, future, extent, basic, also, community"
A10,RQ1,Main Guidelines,Adapt and evolve,Soundy analysis aims to be as sound as possible without excessively compromising precision and scalability.,4,"process, mining, data, business, provides, bridge, modeling, important"
A10,RQ1,Call to Action,Challenge the status quo,We strongly feel the community should embrace the practical necessity of unsoundness and rethink soundness expectations.,3,"design, principles, community, people, need, thinking, must, patterns"
A10,RQ1,Call to Action,Adopt practices and principles,The programming language research community should adopt the notion of soundiness as a guiding principle.,2,"research, open, work, future, extent, basic, also, community"
A11,RQ1,Principles and Values,User focus,Meta-design shifts control from designers to users and empowers users to create and contribute their own visions and objectives.,0,"systems, data, security, system, privacy, users, development, computing"
A11,RQ1,Principles and Values,Architecture,Meta-design provides a pathway to transform development as coding—a discrete computing activity—into design of artifacts as part of the users’ work (or leisure) practice.,3,"design, principles, community, people, need, thinking, must, patterns"
A11,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,The future success of EUD depends on creating tools that end users are motivated to learn and use in daily work practices.,2,"research, open, work, future, extent, basic, also, community"
A11,RQ1,Objective and Motivation,Emphasis on collaboration and interdisciplinarity,Meta-design creates interactive systems that define the conditions for interaction... interaction as the real object of creative production.,0,"systems, data, security, system, privacy, users, development, computing"
A11,RQ1,Main Guidelines,Develop tools and techniques,The goal for EUD tools is to reduce the learning burden while providing powerful facilities to address a wide range of problems.,2,"research, open, work, future, extent, basic, also, community"
A11,RQ1,Call to Action,Adopt practices and principles,Meta-design has the potential to create a culture in which all participants in collaborative design processes can express themselves and engage in personally meaningful activities.,3,"design, principles, community, people, need, thinking, must, patterns"
A11,RQ3,Relationship with SWeBok,Software architecture,Meta-design provides a pathway to transform development as coding—a discrete computing activity—into design of artifacts as part of the users’ work practice. (Pertains to the architecture definition and evaluation process.),4,"process, mining, data, business, provides, bridge, modeling, important"
A11,RQ3,Relationship with SWeBok,Software Design, programming is only part of an end-user developer’s needs. (Relates to software design principles and methods.),3,"design, principles, community, people, need, thinking, must, patterns"
A12,RQ1,Principles and Values,Collaboration,Information systems engineering and security engineering research communities traditionally work independently... it is important to unify the efforts on the two fields.,2,"research, open, work, future, extent, basic, also, community"
A12,RQ1,Main Guidelines,Establish standards and guidelines,Security should be considered from the early stages of the development process and security requirements should be defined alongside with the system’s requirements specification.,0,"systems, data, security, system, privacy, users, development, computing"
A12,RQ1,Main Guidelines,Promote collaboration and communication,It is important to unify the efforts on the two fields... to produce solutions that truly work.,2,"research, open, work, future, extent, basic, also, community"
A12,RQ1,Main Guidelines,Share knowledge,It is of paramount importance to produce tools to support the development process... validate the security functionalities of the proposed solution against the security requirements of the system.,4,"process, mining, data, business, provides, bridge, modeling, important"
A12,RQ1,Call to Action,Collaborate and share,There is also need to encourage a curriculum which incorporates the different aspects coming from the various interdisciplinary subjects in order to provide the required knowledge.,2,"research, open, work, future, extent, basic, also, community"
A12,RQ2,Gaps,Lack of practical guidelines for implementing principles,These approaches lack the definition of a structured process for considering security. A well-defined and structured process is of paramount importance when considering security during the development.,4,"process, mining, data, business, provides, bridge, modeling, important"
A12,RQ2,Gaps,Lack of integration between different areas of software engineering,Information systems engineering and security engineering research communities traditionally work independently...This separation not only creates a void in the proposed solutions but it also results in restricted sharing of existing knowledge.,2,"research, open, work, future, extent, basic, also, community"
A12,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,One of the main problems of considering security during the development stages of an information system is the lack of methods and techniques to trace the provided functionality to security requirements and also test the solution before the implementation of the system.,0,"systems, data, security, system, privacy, users, development, computing"
A12,RQ3,Relationship with SWeBok,Software architecture,Securing information systems raises a set of intertwined issues in the areas of security engineering and information systems engineering... security mechanisms are enforced into the system without considering the overall design and this usually results in problematic systems and security vulnerabilities.,0,"systems, data, security, system, privacy, users, development, computing"
A13,RQ1,Principles and Values,Collaboration,This article presents a cross-disciplinary initiative to create a common ground and a point of reference for the global community of research and practice in software and sustainability.,2,"research, open, work, future, extent, basic, also, community"
A13,RQ1,Principles and Values,Openness,The Karlskrona Manifesto is a vehicle for a much-needed conversation about sustainability within and beyond the software community.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A13,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,The lack of long-term thinking in software engineering research and practice has been critiqued throughout the history of the discipline.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A13,RQ1,Main Guidelines,Address ethical and social issues,The codes of ethics for software professionals must be revisited to account for second and third-order effects of software systems.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A13,RQ1,Main Guidelines,Seek sustainability,Sustainability is fundamental to our society. The current state of our world is unsustainable in more ways than we often recognize.,2,"research, open, work, future, extent, basic, also, community"
A13,RQ1,Impact and Applicability,Ensure security and privacy,The lack of long-term thinking over security considerations in SE has led to a ‘digital dark age’ where information assets become unreadable due to rapid technology changes.,0,"systems, data, security, system, privacy, users, development, computing"
A13,RQ3,Relationship with SWeBok,Software Quality,Technical sustainability of a software system cannot be separated from social and financial sustainability of the organization that created it.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A14,RQ1,Principles and Values,User focus,Users before algorithms: Mining algorithms are only useful in industry if users fund their use in real-world applications.,4,"process, mining, data, business, provides, bridge, modeling, important"
A14,RQ1,Principles and Values,Collaboration,Our experience tells us that successful inductive software engineering projects require extensive user input.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A14,RQ1,Principles and Values,Innovation,We made the case above that successful inductive software engineering projects require extensive user input. User input is not a primary concern of Figure 2.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A14,RQ1,Principles and Values,Openness,Be open-minded: It is unwise to enter into an inductive study with fixed hypotheses or approaches particularly for data that has not been mined before.,0,"systems, data, security, system, privacy, users, development, computing"
A14,RQ1,Principles and Values,Ethics and Responsibility,Do smart learning: Important outcomes are riding on your conclusions. Make sure that you check and validate them.,4,"process, mining, data, business, provides, bridge, modeling, important"
A14,RQ1,Objective and Motivation,Transforming current practices through innovations,We present both the principles of our manifesto as well as tips (generalizations drawn from commonalities among our individual experience) to aid those who choose to follow these principles.,3,"design, principles, community, people, need, thinking, must, patterns"
A14,RQ1,Objective and Motivation,Solve existing problems and challenges,Understanding user goals to inductively generate the models that most matter to the user.,3,"design, principles, community, people, need, thinking, must, patterns"
A14,RQ1,Impact and Applicability,Ensure security and privacy,Live with the data you have: You go mining with the data you have—not the data you might want or wish to have at a later time.,4,"process, mining, data, business, provides, bridge, modeling, important"
A14,RQ1,Call to Action,Creating a better future,We look forward to a rapid evolution of this manifesto as more inductive engineers (a) discuss their methods and (b) find common themes in their work.,2,"research, open, work, future, extent, basic, also, community"
A14,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,It would be useful to augment those classes with inductive engineering project work [...] Such projects could structure their training around the scout and survey stage.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A14,RQ2,Gaps,Little attention to the evolution and adaptation of manifestos,We look forward to a rapid evolution of this manifesto as more inductive engineers (a) discuss their methods and (b) find common themes in their work.,2,"research, open, work, future, extent, basic, also, community"
A14,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,It would be useful to document the patterns of the expert users and the anti-patterns of the novices.,0,"systems, data, security, system, privacy, users, development, computing"
A14,RQ3,Relationship with SWeBok,Software Quality,Do smart learning: Important outcomes are riding on your conclusions. Make sure that you check and validate them.,4,"process, mining, data, business, provides, bridge, modeling, important"
A14,RQ3,Relationship with SWeBok,Software Testing,CRANE is a risk assessment and test prioritization tool used at Microsoft that alerts developers if the next software check-in might be problematic.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A14,RQ3,Relationship with SWeBok,Software Engineering Process,The development effort often takes weeks/ months/ years of work for scout/ survey/ build (respectively).,2,"research, open, work, future, extent, basic, also, community"
A15,RQ1,Principles and Values,Process improvement,This paper deals with the problem of producing effective measurements to help run large networks more effectively. We focus on novel approaches to passive measurement.,4,"process, mining, data, business, provides, bridge, modeling, important"
A15,RQ1,Main Guidelines,Establish standards and guidelines,We use the principles as a yardstick in Section III to examine existing proposals. We also use the principles to suggest new solutions to two specific problems in Section IV and Section V.,3,"design, principles, community, people, need, thinking, must, patterns"
A15,RQ1,Impact and Applicability,Develop tools and techniques,We illustrate this thesis using two examples. Our major example is that of measuring traffic matrices using class counters and class sampling.,0,"systems, data, security, system, privacy, users, development, computing"
A15,RQ3,Relationship with SWeBok,Software architecture,We believe that there is a large semantic gap between data provided easily by the network and the needs of users like ISPs.,0,"systems, data, security, system, privacy, users, development, computing"
A16,RQ1,Principles and Values,Openness,The best hope for the Semantic Web is to encourage the emergence of communities of interest and practice that develop their own consensus knowledge on the basis of which they will standardize their representations.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A16,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,The goal of the Semantic Web is to develop the basis for intelligent applications that enable more efficient information use by not just providing a set of linked documents but a collection of knowledge repositories with meaningful content and additional logic structure.,0,"systems, data, security, system, privacy, users, development, computing"
A16,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,The most problematic assumption is that context-free facts and logical rules would be sufficient [...] It is practically impossible to describe data well enough for it to be used in arbitrary applications.,0,"systems, data, security, system, privacy, users, development, computing"
A16,RQ2,Gaps,Lack of integration between different areas of software engineering,An ontology is an agreed-upon conceptual specification used for making ontological commitments. The crucial question is: how do human agents commit and renegotiate their meaning commitments? And what kind of socio-technical infrastructure is required to leverage these conversations?,2,"research, open, work, future, extent, basic, also, community"
A16,RQ3,Relationship with SWeBok,Software architecture,Ontologies enable clear and precise interorganizational communication and interaction within distinct professional boundaries.,0,"systems, data, security, system, privacy, users, development, computing"
A17,RQ3,Relationship with SWeBok,Software Engineering Models and Methods,The Relational Algebra as defined in reference [11] (Part II) shall be expressible without excessive circumlocution.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A18,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,This adaptation will not be easy. Conventional synchronization techniques based on locks and conditions are unlikely to be effective in such a demanding environment.,0,"systems, data, security, system, privacy, users, development, computing"
A18,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,This adaptation will not be easy. Conventional synchronization techniques based on locks and conditions are unlikely to be effective in such a demanding environment.,0,"systems, data, security, system, privacy, users, development, computing"
A19,RQ1,Objective and Motivation,Transforming current practices through innovations,We instead propose that assurance can be an enabler for innovation and a constructive element in a holistic design process.,3,"design, principles, community, people, need, thinking, must, patterns"
A19,RQ1,Main Guidelines,Address ethical and social issues,The indefeasibility criterion applied to assurance cases requires a comprehensive search for defeaters to the argument.,2,"research, open, work, future, extent, basic, also, community"
A19,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,Assurance is often seen as a drag on innovation and as an activity that is additional to (and generally comes after) the 'real work' of design and implementation.,3,"design, principles, community, people, need, thinking, must, patterns"
A20,RQ1,Principles and Values,Collaboration,Our proposal enjoys the same spirit of works such as [15–17] which advocate for a more structured approach to machine learning model development.,4,"process, mining, data, business, provides, bridge, modeling, important"
A20,RQ1,Principles and Values,Innovation,Our proposal represents a significant shift from the traditional 'performance-driven' machine learning development pipeline to a 'requirements-driven' machine learning development pipeline.,0,"systems, data, security, system, privacy, users, development, computing"
A20,RQ1,Objective and Motivation,Transforming current practices through innovations,We propose a novel pyramid machine learning development process which highlights how the requirement definition can help improving every single step of the standard machine learning model development process.,4,"process, mining, data, business, provides, bridge, modeling, important"
A20,RQ1,Main Guidelines,Promote collaboration and communication,The pyramid shape allows to better highlight the close relationship that must exist between the requirement definition phase and all the others in the pipeline.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A20,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,It is clear that taking into account the requirement in the dataset definition and model construction will likely lead to models which will be easier to verify with respect to the stated requirements.,4,"process, mining, data, business, provides, bridge, modeling, important"
A20,RQ3,Relationship with SWeBok,Software Quality,Our proposal enjoys the same spirit of works such as [15–17] which advocate for a more structured approach to machine learning model development.,4,"process, mining, data, business, provides, bridge, modeling, important"
A21,RQ1,Principles and Values,User focus,Our highest priority is to satisfy the customer through early and continuous delivery of valuable software.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A21,RQ1,Principles and Values,Collaboration,Business people and developers must work together daily throughout the project.,3,"design, principles, community, people, need, thinking, must, patterns"
A21,RQ1,Principles and Values,Architecture,Continuous attention to technical excellence and good design enhances agility.,3,"design, principles, community, people, need, thinking, must, patterns"
A21,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,We are uncovering better ways of developing software by doing it and helping others do it.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A21,RQ1,Objective and Motivation,Transforming current practices through innovations,Through this work we have come to value: Individuals and interactions over processes and tools.,3,"design, principles, community, people, need, thinking, must, patterns"
A21,RQ1,Main Guidelines,Promote collaboration and communication,The most efficient and effective method of conveying information to and within a development team is face-to-face conversation.,0,"systems, data, security, system, privacy, users, development, computing"
A21,RQ1,Impact and Applicability,Simplify and improve usability,Simplicity – the art of maximizing the amount of work not done – is essential.,2,"research, open, work, future, extent, basic, also, community"
A21,RQ1,Call to Action,Educate and train,We are uncovering better ways of developing software by doing it and helping others do it.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A21,RQ3,Relationship with SWeBok,Software architecture,Continuous attention to technical excellence and good design enhances agility.,3,"design, principles, community, people, need, thinking, must, patterns"
A21,RQ3,Relationship with SWeBok,Software Engineering Process,We are uncovering better ways of developing software by doing it and helping others do it.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A21,RQ3,Relationship with SWeBok,Software Quality,Working software is the primary measure of progress.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ1,Principles and Values,Process improvement,Decisions made during software development should be based on solid empirical evidence.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ1,Principles and Values,Privacy and Security,We must ensure that the organizations that develop critical systems do so in a transparent and dependable manner.,0,"systems, data, security, system, privacy, users, development, computing"
A22,RQ1,Principles and Values,Architecture,How do we develop this software and simultaneously manage its complexity?,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ1,Objective and Motivation,Transforming current practices through innovations,We need methods to reduce the complexity of software worth maintaining and extract domain knowledge from existing systems.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ1,Objective and Motivation,Emphasis on collaboration and interdisciplinarity,A serious investment in software research and education by the Dutch government is urgently needed.,2,"research, open, work, future, extent, basic, also, community"
A22,RQ1,Main Guidelines,Address ethical and social issues,We need to understand how to develop reliable software also for such post-von-Neumann architectures.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ1,Call to Action,Building and strengthening communities,We hope this Manifesto starts by inspiring other researchers to reach out and provide feedback in this (and many other) directions.,2,"research, open, work, future, extent, basic, also, community"
A22,RQ2,Gaps,Lack of practical guidelines for implementing principles,A fundamental problem of software research is how to ensure the reliability of software systems.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,Decisions made during software development should be based on solid empirical evidence.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ2,Gaps,Lack of integration between different areas of software engineering,Software research in the Netherlands is excellent but under siege due to the steep increase in student numbers and teaching load in recent years.,2,"research, open, work, future, extent, basic, also, community"
A22,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,We need methods to reduce the complexity of software worth maintaining and extract domain knowledge from existing systems.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ3,Relationship with SWeBok,Software architecture,How do we develop this software and simultaneously manage its complexity?,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ3,Relationship with SWeBok,Software Quality,Producing industrial software is not merely a matter of writing code; to be of quality it requires a strong research foundation.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A22,RQ3,Relationship with SWeBok,Software Security,We must ensure that the organizations that develop critical systems do so in a transparent and dependable manner.,0,"systems, data, security, system, privacy, users, development, computing"
A23,RQ1,Principles and Values,Collaboration,Large systems are composed of smaller ones and therefore depend on the Reactive properties of their constituents.,0,"systems, data, security, system, privacy, users, development, computing"
A23,RQ1,Principles and Values,Change,These changes are happening because application requirements have changed dramatically in recent years.,0,"systems, data, security, system, privacy, users, development, computing"
A23,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,Today’s demands are simply not met by yesterday’s software architectures.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A23,RQ1,Objective and Motivation,Emphasis on collaboration and interdisciplinarity,Large systems are composed of smaller ones and therefore depend on the Reactive properties of their constituents.,0,"systems, data, security, system, privacy, users, development, computing"
A23,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,These changes are happening because application requirements have changed dramatically in recent years.,0,"systems, data, security, system, privacy, users, development, computing"
A23,RQ1,Main Guidelines,Develop tools and techniques,They achieve elasticity in a cost-effective way on commodity hardware and software platforms.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A23,RQ1,Call to Action,Creating a better future,It is time to apply these design principles consciously from the start instead of rediscovering them each time.,3,"design, principles, community, people, need, thinking, must, patterns"
A23,RQ3,Relationship with SWeBok,Software architecture,We believe that a coherent approach to systems architecture is needed.,0,"systems, data, security, system, privacy, users, development, computing"
